Alpha;Substrate combination;input constraint;Input Fe;Input S;Coef Fe;Coef S;Energy level;Filename;Objective;Status;Repeat
0,8;0.25_Fe_low_0.75_S_low;uncons;22,5;4,5;0,25;0,75;Low;biomin_newgrid_sce_a0,8_uncons_22,5Fe_4,5S;;done;
0,8;0.1_Fe_low_0.9_S_low;uncons;9;5,4;0,1;0,9;Low;biomin_newgrid_sce_a0,8_uncons_9Fe_5,4S;;done;
0,8;0_Fe_low_1_S_low;uncons;0;6;0;1;Low;biomin_newgrid_sce_a0,8_uncons_0Fe_6S;;done;
0,8;1_Fe_high_0_S_high;biocons;300;0;1;0;High;biomin_newgrid_sce_a0,8_biocons_300Fe_0S;;done;
0,8;0.9_Fe_high_0.1_S_high;biocons;270;2;0,9;0,1;High;biomin_newgrid_sce_a0,8_biocons_270Fe_2S;;done;
0,8;0.75_Fe_high_0.25_S_high;biocons;225;5;0,75;0,25;High;biomin_newgrid_sce_a0,8_biocons_225Fe_5S;;done;
0,8;0.6_Fe_high_0.4_S_high;biocons;180;8;0,6;0,4;High;biomin_newgrid_sce_a0,8_biocons_180Fe_8S;;done;
0,8;0.5_Fe_high_0.5_S_high;biocons;150;10;0,5;0,5;High;biomin_newgrid_sce_a0,8_biocons_150Fe_10S;;done;
0,8;0.4_Fe_high_0.6_S_high;biocons;120;12;0,4;0,6;High;biomin_newgrid_sce_a0,8_biocons_120Fe_12S;;done;
0,8;0.25_Fe_high_0.75_S_high;biocons;75;15;0,25;0,75;High;biomin_newgrid_sce_a0,8_biocons_75Fe_15S;;done;
0,8;0.1_Fe_high_0.9_S_high;biocons;30;18;0,1;0,9;High;biomin_newgrid_sce_a0,8_biocons_30Fe_18S;;done;
0,8;0_Fe_high_1_S_high;biocons;0;20;0;1;High;biomin_newgrid_sce_a0,8_biocons_0Fe_20S;;done;
0,8;1_Fe_low_0_S_low;biocons;90;0;1;0;Low;biomin_newgrid_sce_a0,8_biocons_90Fe_0S;;done;
0,8;0.9_Fe_low_0.1_S_low;biocons;81;0,6;0,9;0,1;Low;biomin_newgrid_sce_a0,8_biocons_81Fe_0,6S;;done;
0,8;0.75_Fe_low_0.25_S_low;biocons;67,5;1,5;0,75;0,25;Low;biomin_newgrid_sce_a0,8_biocons_67,5Fe_1,5S;;done;
0,8;0.6_Fe_low_0.4_S_low;biocons;54;2,4;0,6;0,4;Low;biomin_newgrid_sce_a0,8_biocons_54Fe_2,4S;;done;
0,8;0.5_Fe_low_0.5_S_low;biocons;45;3;0,5;0,5;Low;biomin_newgrid_sce_a0,8_biocons_45Fe_3S;;done;
0,8;0.4_Fe_low_0.6_S_low;biocons;36;3,6;0,4;0,6;Low;biomin_newgrid_sce_a0,8_biocons_36Fe_3,6S;;done;
0,8;0.25_Fe_low_0.75_S_low;biocons;22,5;4,5;0,25;0,75;Low;biomin_newgrid_sce_a0,8_biocons_22,5Fe_4,5S;;done;
0,8;0.1_Fe_low_0.9_S_low;biocons;9;5,4;0,1;0,9;Low;biomin_newgrid_sce_a0,8_biocons_9Fe_5,4S;;done;
0,8;0_Fe_low_1_S_low;biocons;0;6;0;1;Low;biomin_newgrid_sce_a0,8_biocons_0Fe_6S;;done;
1;1_Fe_high_0_S_high;uncons;300;0;1;0;High;biomin_newgrid_sce_a1_uncons_300Fe_0S;;done;
1;0.9_Fe_high_0.1_S_high;uncons;270;2;0,9;0,1;High;biomin_newgrid_sce_a1_uncons_270Fe_2S;;done;
1;0.75_Fe_high_0.25_S_high;uncons;225;5;0,75;0,25;High;biomin_newgrid_sce_a1_uncons_225Fe_5S;;done;
1;0.5_Fe_high_0.5_S_high;uncons;150;10;0,5;0,5;High;biomin_newgrid_sce_a1_uncons_150Fe_10S;;done;
1;0.25_Fe_high_0.75_S_high;uncons;75;15;0,25;0,75;High;biomin_newgrid_sce_a1_uncons_75Fe_15S;;done;
1;0.1_Fe_high_0.9_S_high;uncons;30;18;0,1;0,9;High;biomin_newgrid_sce_a1_uncons_30Fe_18S;;done;
1;0_Fe_high_1_S_high;uncons;0;20;0;1;High;biomin_newgrid_sce_a1_uncons_0Fe_20S;;done;
1;1_Fe_low_0_S_low;uncons;90;0;1;0;Low;biomin_newgrid_sce_a1_uncons_90Fe_0S;;done;
1;0.9_Fe_low_0.1_S_low;uncons;81;0,6;0,9;0,1;Low;biomin_newgrid_sce_a1_uncons_81Fe_0,6S;;done;
1;0.75_Fe_low_0.25_S_low;uncons;67,5;1,5;0,75;0,25;Low;biomin_newgrid_sce_a1_uncons_67,5Fe_1,5S;;done;
1;0.5_Fe_low_0.5_S_low;uncons;45;3;0,5;0,5;Low;biomin_newgrid_sce_a1_uncons_45Fe_3S;;done;
1;0.25_Fe_low_0.75_S_low;uncons;22,5;4,5;0,25;0,75;Low;biomin_newgrid_sce_a1_uncons_22,5Fe_4,5S;;done;
1;0.1_Fe_low_0.9_S_low;uncons;9;5,4;0,1;0,9;Low;biomin_newgrid_sce_a1_uncons_9Fe_5,4S;;done;
1;0_Fe_low_1_S_low;uncons;0;6;0;1;Low;biomin_newgrid_sce_a1_uncons_0Fe_6S;;done;
1;1_Fe_high_0_S_high;biocons;300;0;1;0;High;biomin_newgrid_sce_a1_biocons_300Fe_0S;;done;
1;0.9_Fe_high_0.1_S_high;biocons;270;2;0,9;0,1;High;biomin_newgrid_sce_a1_biocons_270Fe_2S;;done;
1;0.75_Fe_high_0.25_S_high;biocons;225;5;0,75;0,25;High;biomin_newgrid_sce_a1_biocons_225Fe_5S;;done;
1;0.6_Fe_high_0.4_S_high;biocons;180;8;0,6;0,4;High;biomin_newgrid_sce_a1_biocons_180Fe_8S;;done;
1;0.5_Fe_high_0.5_S_high;biocons;150;10;0,5;0,5;High;biomin_newgrid_sce_a1_biocons_150Fe_10S;;done;
1;0.4_Fe_high_0.6_S_high;biocons;120;12;0,4;0,6;High;biomin_newgrid_sce_a1_biocons_120Fe_12S;;done;
1;0.25_Fe_high_0.75_S_high;biocons;75;15;0,25;0,75;High;biomin_newgrid_sce_a1_biocons_75Fe_15S;;done;
1;0.1_Fe_high_0.9_S_high;biocons;30;18;0,1;0,9;High;biomin_newgrid_sce_a1_biocons_30Fe_18S;;done;
1;0_Fe_high_1_S_high;biocons;0;20;0;1;High;biomin_newgrid_sce_a1_biocons_0Fe_20S;;done;
1;1_Fe_low_0_S_low;biocons;90;0;1;0;Low;biomin_newgrid_sce_a1_biocons_90Fe_0S;;done;
1;0.9_Fe_low_0.1_S_low;biocons;81;0,6;0,9;0,1;Low;biomin_newgrid_sce_a1_biocons_81Fe_0,6S;;done;
1;0.75_Fe_low_0.25_S_low;biocons;67,5;1,5;0,75;0,25;Low;biomin_newgrid_sce_a1_biocons_67,5Fe_1,5S;;done;
1;0.6_Fe_low_0.4_S_low;biocons;54;2,4;0,6;0,4;Low;biomin_newgrid_sce_a1_biocons_54Fe_2,4S;;done;
1;0.5_Fe_low_0.5_S_low;biocons;45;3;0,5;0,5;Low;biomin_newgrid_sce_a1_biocons_45Fe_3S;;done;
1;0.4_Fe_low_0.6_S_low;biocons;36;3,6;0,4;0,6;Low;biomin_newgrid_sce_a1_biocons_36Fe_3,6S;;done;
1;0.25_Fe_low_0.75_S_low;biocons;22,5;4,5;0,25;0,75;Low;biomin_newgrid_sce_a1_biocons_22,5Fe_4,5S;;done;
1;0.1_Fe_low_0.9_S_low;biocons;9;5,4;0,1;0,9;Low;biomin_newgrid_sce_a1_biocons_9Fe_5,4S;;done;
1;0_Fe_low_1_S_low;biocons;0;6;0;1;Low;biomin_newgrid_sce_a1_biocons_0Fe_6S;;done;
0;1_Fe_medium_0_S_medium;biocons;150;0;1;0;Medium;biomin_newgrid_sce_a0_biocons_150Fe_0S;;done;
0;0.9_Fe_medium_0.1_S_medium;biocons;135;1;0,9;0,1;Medium;biomin_newgrid_sce_a0_biocons_135Fe_1S;;done;
0;0.75_Fe_medium_0.25_S_medium;biocons;112,5;2,5;0,75;0,25;Medium;biomin_newgrid_sce_a0_biocons_112,5Fe_2,5S;;done;
0;0.6_Fe_medium_0.4_S_medium;biocons;90;4;0,6;0,4;Medium;biomin_newgrid_sce_a0_biocons_90Fe_4S;;done;
0;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0_biocons_75Fe_5S;;done;
0;0.4_Fe_medium_0.6_S_medium;biocons;60;6;0,4;0,6;Medium;biomin_newgrid_sce_a0_biocons_60Fe_6S;;done;
0;0.25_Fe_medium_0.75_S_medium;biocons;37,5;7,5;0,25;0,75;Medium;biomin_newgrid_sce_a0_biocons_37,5Fe_7,5S;;done;
0;0.1_Fe_medium_0.9_S_medium;biocons;15;9;0,1;0,9;Medium;biomin_newgrid_sce_a0_biocons_15Fe_9S;;done;
0;0_Fe_medium_1_S_medium;biocons;0;10;0;1;Medium;biomin_newgrid_sce_a0_biocons_0Fe_10S;;done;
0,2;1_Fe_medium_0_S_medium;biocons;150;0;1;0;Medium;biomin_newgrid_sce_a0,2_biocons_150Fe_0S;;done;
0,2;0.9_Fe_medium_0.1_S_medium;biocons;135;1;0,9;0,1;Medium;biomin_newgrid_sce_a0,2_biocons_135Fe_1S;;done;
0,2;0.75_Fe_medium_0.25_S_medium;biocons;112,5;2,5;0,75;0,25;Medium;biomin_newgrid_sce_a0,2_biocons_112,5Fe_2,5S;;done;
0,2;0.6_Fe_medium_0.4_S_medium;biocons;90;4;0,6;0,4;Medium;biomin_newgrid_sce_a0,2_biocons_90Fe_4S;;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S;;done;
0,2;0.4_Fe_medium_0.6_S_medium;biocons;60;6;0,4;0,6;Medium;biomin_newgrid_sce_a0,2_biocons_60Fe_6S;;done;
0,2;0.25_Fe_medium_0.75_S_medium;biocons;37,5;7,5;0,25;0,75;Medium;biomin_newgrid_sce_a0,2_biocons_37,5Fe_7,5S;;done;
0,2;0.1_Fe_medium_0.9_S_medium;biocons;15;9;0,1;0,9;Medium;biomin_newgrid_sce_a0,2_biocons_15Fe_9S;;done;
0,2;0_Fe_medium_1_S_medium;biocons;0;10;0;1;Medium;biomin_newgrid_sce_a0,2_biocons_0Fe_10S;;done;
0,4;1_Fe_medium_0_S_medium;biocons;150;0;1;0;Medium;biomin_newgrid_sce_a0,4_biocons_150Fe_0S;;done;
0,4;0.9_Fe_medium_0.1_S_medium;biocons;135;1;0,9;0,1;Medium;biomin_newgrid_sce_a0,4_biocons_135Fe_1S;;done;
0,4;0.75_Fe_medium_0.25_S_medium;biocons;112,5;2,5;0,75;0,25;Medium;biomin_newgrid_sce_a0,4_biocons_112,5Fe_2,5S;;done;
0,4;0.6_Fe_medium_0.4_S_medium;biocons;90;4;0,6;0,4;Medium;biomin_newgrid_sce_a0,4_biocons_90Fe_4S;;done;
0,4;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,4_biocons_75Fe_5S;;done;
0,4;0.4_Fe_medium_0.6_S_medium;biocons;60;6;0,4;0,6;Medium;biomin_newgrid_sce_a0,4_biocons_60Fe_6S;;done;
0,4;0.25_Fe_medium_0.75_S_medium;biocons;37,5;7,5;0,25;0,75;Medium;biomin_newgrid_sce_a0,4_biocons_37,5Fe_7,5S;;done;
0,4;0.1_Fe_medium_0.9_S_medium;biocons;15;9;0,1;0,9;Medium;biomin_newgrid_sce_a0,4_biocons_15Fe_9S;;done;
0,4;0_Fe_medium_1_S_medium;biocons;0;10;0;1;Medium;biomin_newgrid_sce_a0,4_biocons_0Fe_10S;;done;
0,6;1_Fe_medium_0_S_medium;biocons;150;0;1;0;Medium;biomin_newgrid_sce_a0,6_biocons_150Fe_0S;;done;
0,6;0.9_Fe_medium_0.1_S_medium;biocons;135;1;0,9;0,1;Medium;biomin_newgrid_sce_a0,6_biocons_135Fe_1S;;done;
0,6;0.75_Fe_medium_0.25_S_medium;biocons;112,5;2,5;0,75;0,25;Medium;biomin_newgrid_sce_a0,6_biocons_112,5Fe_2,5S;;done;
0,6;0.6_Fe_medium_0.4_S_medium;biocons;90;4;0,6;0,4;Medium;biomin_newgrid_sce_a0,6_biocons_90Fe_4S;;done;
0,6;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,6_biocons_75Fe_5S;;done;
0,6;0.4_Fe_medium_0.6_S_medium;biocons;60;6;0,4;0,6;Medium;biomin_newgrid_sce_a0,6_biocons_60Fe_6S;;done;
0,6;0.25_Fe_medium_0.75_S_medium;biocons;37,5;7,5;0,25;0,75;Medium;biomin_newgrid_sce_a0,6_biocons_37,5Fe_7,5S;;done;
0,6;0.1_Fe_medium_0.9_S_medium;biocons;15;9;0,1;0,9;Medium;biomin_newgrid_sce_a0,6_biocons_15Fe_9S;;done;
0,6;0_Fe_medium_1_S_medium;biocons;0;10;0;1;Medium;biomin_newgrid_sce_a0,6_biocons_0Fe_10S;;done;
0,8;1_Fe_medium_0_S_medium;biocons;150;0;1;0;Medium;biomin_newgrid_sce_a0,8_biocons_150Fe_0S;;done;
0,8;0.9_Fe_medium_0.1_S_medium;biocons;135;1;0,9;0,1;Medium;biomin_newgrid_sce_a0,8_biocons_135Fe_1S;;done;
0,8;0.75_Fe_medium_0.25_S_medium;biocons;112,5;2,5;0,75;0,25;Medium;biomin_newgrid_sce_a0,8_biocons_112,5Fe_2,5S;;done;
0,8;0.6_Fe_medium_0.4_S_medium;biocons;90;4;0,6;0,4;Medium;biomin_newgrid_sce_a0,8_biocons_90Fe_4S;;done;
0,8;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,8_biocons_75Fe_5S;;done;
0,8;0.4_Fe_medium_0.6_S_medium;biocons;60;6;0,4;0,6;Medium;biomin_newgrid_sce_a0,8_biocons_60Fe_6S;;done;
0,8;0.25_Fe_medium_0.75_S_medium;biocons;37,5;7,5;0,25;0,75;Medium;biomin_newgrid_sce_a0,8_biocons_37,5Fe_7,5S;;done;
0,8;0.1_Fe_medium_0.9_S_medium;biocons;15;9;0,1;0,9;Medium;biomin_newgrid_sce_a0,8_biocons_15Fe_9S;;done;
0,8;0_Fe_medium_1_S_medium;biocons;0;10;0;1;Medium;biomin_newgrid_sce_a0,8_biocons_0Fe_10S;;done;
1;1_Fe_medium_0_S_medium;biocons;150;0;1;0;Medium;biomin_newgrid_sce_a1_biocons_150Fe_0S;;done;
1;0.9_Fe_medium_0.1_S_medium;biocons;135;1;0,9;0,1;Medium;biomin_newgrid_sce_a1_biocons_135Fe_1S;;done;
1;0.75_Fe_medium_0.25_S_medium;biocons;112,5;2,5;0,75;0,25;Medium;biomin_newgrid_sce_a1_biocons_112,5Fe_2,5S;;done;
1;0.6_Fe_medium_0.4_S_medium;biocons;90;4;0,6;0,4;Medium;biomin_newgrid_sce_a1_biocons_90Fe_4S;;done;
1;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a1_biocons_75Fe_5S;;done;
1;0.4_Fe_medium_0.6_S_medium;biocons;60;6;0,4;0,6;Medium;biomin_newgrid_sce_a1_biocons_60Fe_6S;;done;
1;0.25_Fe_medium_0.75_S_medium;biocons;37,5;7,5;0,25;0,75;Medium;biomin_newgrid_sce_a1_biocons_37,5Fe_7,5S;;done;
1;0.1_Fe_medium_0.9_S_medium;biocons;15;9;0,1;0,9;Medium;biomin_newgrid_sce_a1_biocons_15Fe_9S;;done;
1;0_Fe_medium_1_S_medium;biocons;0;10;0;1;Medium;biomin_newgrid_sce_a1_biocons_0Fe_10S;;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_EPS;EPS;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_pars;pars;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_EPS_09FVA;EPS09;done;
0;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0_biocons_75Fe_5S_EPS;EPS;done;
0,6;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,6_biocons_75Fe_5S_EPS;EPS;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_pars_pFactor105;pars_pFactor105;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_EPS02;EPS02;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_EPS05;EPS05;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_pars_pFactor120;pars_pFactor120;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_pars_pFactor150;pars_pFactor150;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_EPS07;EPS07;done;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_EPS08;EPS08;;
0,2;0.5_Fe_medium_0.5_S_medium;biocons;75;5;0,5;0,5;Medium;biomin_newgrid_sce_a0,2_biocons_75Fe_5S_EPS095;EPS095;;
